REVIEW,RATE,THUMBS_UP_COUNT
"Big number game,not at all reasonable prices and the worst part is all the discounts they offer through credit card is just fake,before you pay it shows cant proceds right now.But without discount it really works good. Please dont fall into the trap,I suggest u better order it from your nearby store. On veggies and hand packed items they tag double price and then offer discount. No transparency at all.. worst experience",1,80
"Cheating through cancelation charges , while go through payment , at that time automatically order placing but no payment option. If you cancel as payment not over then RS 30. What's this nonsense, paying huge amount to celebrity but you will cheat customer.",1,1
Why does big basket bring about such an update wherein all the slots are now showing as full. Previously the slots were available and now after recent update all slots are full. This is such a frustrating thing.,1,48
Really irritating app.. Daily receiving msgs and mail from this app . But if I login into this app it shows ALL SLOTS ARE FULL . TRY AGAIN LATER. Really disgusting app. Experiencing this issue since may month . Not yet resolved,1,11
"Everytime i proceed to checkout, card payment fails and the cart starts showing zero products. Have to select all items again, and finally leading to the same error. Very irritating.",1,8
"It is disgusting the tricks they are using. Since paying for the membership slots are now 6am - 1030 pm! While non member accounts have the usual 2hr slot options at mid day time the same day. That too two days later, despite membership. My slot was then said to have changed to 7-9pm! the evening before. Quality of the fruits and veggies is an issue each time. Got completely rotten fruits and half rotten veggies thrice. Very odd feature of not updating out of stock items in the basket causing inconvenience when you want to pay.",1,73
"This app is really irritating, I am a bb star member by paying certain amount, they launched a new system where you need to get the token and when your number comes you can order, now the catch is when you want to order something you need to wait for your turn and when your turn come half of the products are out of stock. Moreover once you collect the token it takes almost 2 days for your number to come. Have nothing more to say apart for good bye big basket, you just lost one of your customer.",1,192
Content in app is not loading up.... I did my phone restart and network reset and checked my network speed as well but content inside your application keeps on loading and I am not able to order anything because of this. I checked my internet connection and its working fine and all other apps in my phone working fine as well,1,0
"If payment fails or customer changes his mind, they convert the order in COD. Now they have started outright cheating. If payment fails and you retry the payment then they deduct approx. 5% more from the order value. If your payment is successful in fourth attempt, then you end up paying 20% more on your order value. This extra 20 percent is penalty for purchasing from BigBasket.",1,5
"After adding products to basket, when I went to checkout page and returned back to add modify items, all items disappeared and I had to add them all back. Also I was facing issues when adding the items second time as it was showing at item page as already added but not able to see in the basket. Had to reinstall the application to place the order. Very bad user experience.",1,20
"App is absolutely glitchy and problematic, even if you try and give a good service from the logistics side, if the the app is so useless how is one gonna use your service?",1,0
"Very bad application, I was adding product but application is not into card, after addition many products check is out empty. What rubies",1,2
"It's been a month, I am trying to checkout with products in cart, showing slot on home page but it always shows ""No slots available, please try again later"" on checkout and this is really been two months now same thing. Really disappointing when you really need to order in such situations. Even though you are bb star member, it doesn't help. The situation is still the same in every lockdown, I am not sure why they are not fixing this issue.",1,288
"I wouldn't recommend it to anyone. Totally waste of time to using this app. All the time, slot is unavailable. Really appreciate the competitors are doing their best in this critical time. I suggest you to improve the availability method. In terms of price, it's very high.",1,2
